wordnet_id,Unnamed: 0,subset,core_synset,core_lemma,hypernym_synsets,cohyponym_synsets,wikimedia_images,image_filename,definition,model_a,model_b,assessor_vitya
29148617,1595,predict_hypernym,genetic_disease.n.01,genetic_disease,['disease.n.01'],"['animal_disease.n.01', 'anthrax.n.02', 'aspergillosis.n.03', 'autoimmune_disease.n.01', 'blackwater.n.01', 'cat_scratch_disease.n.01', 'communicable_disease.n.01', 'complication.n.03', 'crud.n.03', 'deficiency_disease.n.01', 'disease_of_the_neuromuscular_junction.n.01', 'endemic.n.01', 'enteropathy.n.01', 'exanthema_subitum.n.01', 'eye_disease.n.01', 'fibrocystic_breast_disease.n.01', 'filariasis.n.01', 'goiter.n.01', 'incompetence.n.02', 'inflammatory_disease.n.01', 'kawasaki_disease.n.01', 'liver_disease.n.01', 'malignancy.n.01', 'marseilles_fever.n.01', ""meniere's_disease.n.01"", 'milk_sickness.n.02', 'mimesis.n.02', 'occupational_disease.n.01', 'onychosis.n.01', 'ozena.n.01', 'periarteritis_nodosa.n.01', 'periodontal_disease.n.01', 'plant_disease.n.01', 'pycnosis.n.01', 'respiratory_disease.n.01', 'rheumatism.n.01', 'sandfly_fever.n.01', 'skin_disease.n.01']","['https://upload.wikimedia.org/wikipedia/commons/1/11/A_boy_with_Down_syndrome_using_cordless_drill_to_assemble_a_book_case.jpg?20060827174519', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Inborn_errors_of_metabolism.svg/800px-Inborn_errors_of_metabolism.svg.png?20100221001102', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Overlapping_clinical_phenotypes_in_genes_associated_with_monogenic_forms_of_autism_spectrum_disorder_%28ASD%29%2C_dystonia%2C_epilepsy_and_schizophrenia.svg/713px-Overlapping_clinical_phenotypes_in_genes_associated_with_monogenic_forms_of_autism_spectrum_disorder_%28ASD%29%2C_dystonia%2C_epilepsy_and_schizophrenia.svg.png?20240210072029', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Genetic_transmission_of_hemophilia_%28HY%29.svg/512px-Genetic_transmission_of_hemophilia_%28HY%29.svg.png?20221118063755', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Summit_Charts_a_Course_to_Uncover_the_Origins_of_Genetic_Diseases.png/800px-Summit_Charts_a_Course_to_Uncover_the_Origins_of_Genetic_Diseases.png?20201129142824']",A boy with Down syndrome using cordless drill to assemble a book case.jpg,a disease or disorder that is inherited genetically,black-forest-labs_FLUX.1-dev,Tencent-Hunyuan_HunyuanDiT-v1.2-Diffusers,0
2053030,1598,predict_hypernym,surpass.v.02,surpass,['beat.v.01'],"['cheat.v.02', 'checkmate.v.01', 'cream.v.02', 'eliminate.v.06', 'get_the_best.v.01', 'get_the_jump.v.01', 'immobilize.v.03', 'outdo.v.02', 'outfight.v.01', 'outplay.v.01', 'outpoint.v.02', 'overcome.v.02', 'overpower.v.01', 'spread-eagle.v.05', 'walk_over.v.01', 'whomp.v.02', 'worst.v.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Anabuki_Surpass_Joto_at_Osaka.jpg/450px-Anabuki_Surpass_Joto_at_Osaka.jpg?20240618165540', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/June_2022_stayover_arrivals_surpass_Full-Year_2021.png?20220804205242', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/OMNY_Surpasses_100_Million_Taps_%2851293503572%29.jpg/760px-OMNY_Surpasses_100_Million_Taps_%2851293503572%29.jpg?20210709131044', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/OMNY_Surpasses_100_Million_Taps_%2851294250306%29.jpg/497px-OMNY_Surpasses_100_Million_Taps_%2851294250306%29.jpg?20210709131050', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/OMNY_Surpasses_100_Million_Taps_%2851294966554%29.jpg/800px-OMNY_Surpasses_100_Million_Taps_%2851294966554%29.jpg?20210709131044']",Anabuki Surpass Joto at Osaka.jpg,be or do something to a greater degree,prompthero_openjourney,black-forest-labs_FLUX.1-dev,3
93221214,1603,predict_hypernym,plaything.n.01,plaything,['artifact.n.01'],"['americana.n.01', 'anachronism.n.02', 'antiquity.n.03', 'article.n.02', 'block.n.01', 'building_material.n.01', 'button.n.07', 'commodity.n.01', 'cone.n.01', 'covering.n.02', 'creation.n.02', 'decker.n.02', 'decoration.n.01', 'electroplate.n.01', 'excavation.n.03', 'extra.n.03', 'fabric.n.01', 'facility.n.01', 'facility.n.04', 'fixture.n.01', 'float.n.06', 'insert.n.02', 'instrumentality.n.03', 'layer.n.01', 'lemon.n.05', 'line.n.18', 'marker.n.01', 'mystification.n.02', 'opening.n.10', 'padding.n.01', 'paving.n.01', 'ready-made.n.01', 'restoration.n.05', 'sheet.n.06', 'sphere.n.02', 'square.n.07', 'squeaker.n.01', 'strip.n.02', 'structure.n.01', 'surface.n.01', 'thing.n.04', 'track.n.03', 'way.n.06', 'weight.n.04']","['https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Mexican_guitars_and_toys.jpg/753px-Mexican_guitars_and_toys.jpg?20170730063458', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Man%27s_Plaything_%281920%29_-_1.jpg/504px-Man%27s_Plaything_%281920%29_-_1.jpg?20160810135229', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Man%27s_Plaything_%281920%29_-_3.jpg/449px-Man%27s_Plaything_%281920%29_-_3.jpg?20161003223523', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Rich_Man%27s_Plaything_lobby_card.jpg/764px-Rich_Man%27s_Plaything_lobby_card.jpg?20170402202328', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Man%27s_Plaything_%281920%29_-_2.jpg/445px-Man%27s_Plaything_%281920%29_-_2.jpg?20160929125941']",Mexican guitars and toys.jpg,an artifact designed to be played with,runwayml_stable-diffusion-v1-5,black-forest-labs_FLUX.1-dev,1
3818090,1606,simple_triplet_2parent,neomycin.n.01,neomycin,"['antibiotic.n.01', 'antiseptic.n.01']","['actinomycin.n.01', 'amphotericin.n.01', 'antimycin.n.01', 'antineoplastic_antibiotic.n.01', 'aztreonam.n.01', 'bacitracin.n.01', 'carbomycin.n.01', 'cephaloglycin.n.01', 'cephaloridine.n.01', 'cephalosporin.n.01', 'chloramphenicol.n.01', 'chlortetracycline.n.01', 'ciprofloxacin.n.01', 'cycloserine.n.01', 'dihydrostreptomycin.n.01', 'doxorubicin.n.01', 'doxycycline.n.01', 'erythromycin.n.01', 'gentamicin.n.01', 'gramicidin.n.01', 'kanamycin.n.01', 'lincomycin.n.01', 'mitomycin.n.01', 'mycomycin.n.01', 'novobiocin.n.01', 'nystatin.n.01', 'oxytetracycline.n.01', 'penicillin.n.01', 'polymyxin.n.01', 'primaxin.n.01', 'pyocyanase.n.01', 'pyocyanin.n.01', 'spectinomycin.n.01', 'streptomycin.n.01', 'streptothricin.n.01', 'subtilin.n.01', 'tobramycin.n.01', 'tyrocidine.n.01', 'tyrothricin.n.01', 'vancomycin.n.01', 'viomycin.n.01', 'chloramine.n.01', 'chlorhexidine.n.01', 'gramicidin.n.01', 'iodoform.n.02', 'merbromine.n.01', 'mild_silver_protein.n.01', 'neomycin.n.01', 'thimerosal.n.01', 'tincture_of_iodine.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Neomycin_B_C.svg/620px-Neomycin_B_C.svg.png?20090624185656', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Neomycin_B.png/458px-Neomycin_B.png?20160530024025', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Selective_diazotransfer_to_neomycin_B.png/800px-Selective_diazotransfer_to_neomycin_B.png?20150103012135', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Neomycin_ball-and-stick.png/800px-Neomycin_ball-and-stick.png?20130714131444', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Neomycin.svg/800px-Neomycin.svg.png?20240316005201']",Neomycin B C.svg,an antibiotic obtained from an actinomycete and used (as a sulphate under the trade name Neobiotic) as an intestinal antiseptic in surgery,black-forest-labs_FLUX.1-dev,playgroundai_playground-v2.5-1024px-aesthetic,1
4259202,1613,simple_triplet_2parent,solenoid.n.01,solenoid,"['coil.n.06', 'magnet.n.01']","['armature.n.01', 'astatic_coils.n.01', 'choke.n.01', 'field_coil.n.01', 'induction_coil.n.01', 'primary_coil.n.01', 'read/write_head.n.01', 'secondary_coil.n.01', 'tickler_coil.n.01', 'bar_magnet.n.01', 'electromagnet.n.01', 'field_magnet.n.01', 'magnetic_needle.n.01', 'paramagnet.n.01', 'permanent_magnet.n.01', 'solenoid.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Solenoid-1.png/800px-Solenoid-1.png?20091002222929', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Solenoid_Valve_Open.png/800px-Solenoid_Valve_Open.png?20221124220533', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Solenoid_with_3_loops.svg/709px-Solenoid_with_3_loops.svg.png?20220321131012', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Solenoid_Valve_Closed.png/800px-Solenoid_Valve_Closed.png?20221124220533', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/VFPt_Solenoid_correct2.svg/490px-VFPt_Solenoid_correct2.svg.png?20190914202900']",Solenoid-1.png,a coil of wire around an iron core; becomes a magnet when current passes through the coil,black-forest-labs_FLUX.1-dev,stabilityai_sdxl-turbo,1
7036307,1617,predict_hypernym,change_by_reversal.v.01,change_by_reversal,['change.v.02'],"['acetylate.v.01', 'adjust.v.03', 'alkalinize.v.01', 'americanize.v.02', 'ascend.v.08', 'assibilate.v.02', 'assimilate.v.05', 'assume.v.03', 'barbarize.v.01', 'boil.v.02', 'break.v.22', 'break_into.v.02', 'brutalize.v.03', 'calcify.v.02', 'capacitate.v.02', 'carbonate.v.01', 'caseate.v.01', 'caseate.v.02', 'catch.v.12', 'catch_on.v.02', 'change_integrity.v.01', 'change_magnitude.v.01', 'change_posture.v.01', 'change_shape.v.01', 'change_state.v.01', 'change_surface.v.01', 'clinker.v.02', 'collapse.v.01', 'come.v.04', 'come_in.v.03', 'come_round.v.01', 'commute.v.01', 'complexify.v.01', 'concretize.v.02', 'conjugate.v.03', 'convert.v.03', 'convert.v.11', 'cool.v.03', 'crack.v.01', 'crack.v.13', 'crash.v.11', 'creolize.v.01', 'cure.v.04', 'damage.v.02', 'darken.v.01', 'dawn.v.03', 'deaden.v.05', 'decalcify.v.01', 'decarboxylate.v.01', 'decay.v.02', 'decay.v.03', 'decrepitate.v.01', 'deepen.v.04', 'defervesce.v.01', 'democratize.v.01', 'deoxidize.v.01', 'desalinate.v.01', 'destabilize.v.01', 'develop.v.03', 'develop.v.14', 'die.v.09', 'digest.v.04', 'dim.v.02', 'discolor.v.01', 'discolor.v.03', 'dissimilate.v.01', 'dissimilate.v.03', 'distill.v.02', 'dress.v.01', 'drift.v.09', 'drop.v.20', 'dry.v.02', 'dull.v.02', 'evaporate.v.03', 'fail.v.04', 'fall.v.26', 'fall.v.27', 'fall_for.v.01', 'felt.v.03', 'feminize.v.01', 'flip.v.10', 'flocculate.v.01', 'fly.v.07', 'fold.v.05', 'form.v.07', 'format.v.01', 'foul.v.07', 'freshen.v.02', 'gel.v.01', 'gelatinize.v.02', 'give_way.v.03', 'glaze.v.02', 'go_out.v.05', 'gradate.v.02', 'grow.v.08', 'grow.v.10', 'gum.v.03', 'harden.v.01', 'harden.v.02', 'have.v.11', 'hush.v.01', 'hydrate.v.02', 'hydrolyze.v.01', 'ice_up.v.01', 'incandesce.v.02', 'indurate.v.01', 'industrialize.v.02', 'introject.v.01', 'ionize.v.01', 'isomerize.v.02', 'keratinize.v.02', 'leave.v.08', 'liberalize.v.02', 'lighten.v.05', 'make.v.30', 'mature.v.03', 'mellow.v.02', 'modernize.v.02', 'modify.v.01', 'mold.v.02', 'move.v.13', 'mutate.v.01', 'narrow.v.01', 'normalize.v.01', 'obsolesce.v.01', 'occult.v.02', 'opacify.v.02', 'oxidise.v.02', 'oxidize.v.02', 'pall.v.01', 'pass.v.18', 'plasticize.v.01', 'play_out.v.04', 'prim.v.01', 'professionalize.v.01', 'promote.v.04', 'purify.v.03', 'recede.v.03', 'receive.v.02', 'recombine.v.01', 'reflate.v.01', 'regenerate.v.08', 'regress.v.01', 'rejuvenate.v.02', 'relax.v.07', 'reorient.v.03', 'repress.v.04', 'resume.v.02', 'reticulate.v.01', 'rise.v.11', 'roll.v.18', 'salinate.v.01', 'saponify.v.01', 'separate.v.12', 'sequester.v.03', 'settle.v.15', 'shade.v.05', 'shallow.v.02', 'shear.v.04', 'shift.v.06', 'shift.v.11', 'smoothen.v.03', 'soften.v.07', 'solarize.v.02', 'spot.v.05', 'stabilize.v.03', 'stagnate.v.02', 'steepen.v.01', 'stiffen.v.01', 'stratify.v.03', 'strengthen.v.02', 'sublime.v.01', 'suburbanize.v.01', 'suffuse.v.02', 'superannuate.v.03', 'swing.v.08', 'synthesize.v.02', 'tighten.v.02', 'transaminate.v.02', 'transform.v.03', 'transpire.v.03', 'turn.v.07', 'turn_on.v.04', 'ulcerate.v.01', 'undergo.v.01', 'undulate.v.04', 'vascularize.v.01', 'vesiculate.v.01', 'vitrify.v.02', 'vulcanize.v.01', 'warm.v.01', 'warm_up.v.02']","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Phase_change_-_eu.svg/429px-Phase_change_-_eu.svg.png?20101130044202', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Polarity_reversal_curve.svg/800px-Polarity_reversal_curve.svg.png?20140214164746', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Phase_change_-_pt.svg/493px-Phase_change_-_pt.svg.png?20161018003051', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Phase_change_-_es.svg/429px-Phase_change_-_es.svg.png?20110816141810', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Curve_polarity_reversal_svg.svg/780px-Curve_polarity_reversal_svg.svg.png?20140108200807']",Phase change - eu.svg,change to the contrary,runwayml_stable-diffusion-v1-5,black-forest-labs_FLUX.1-dev,1
42231109,1621,predict_hypernym,skin.n.01,skin,"['body_covering.n.01', 'connective_tissue.n.01']","['epicranium.n.01', 'exoskeleton.n.01', 'exuviae.n.01', 'feather.n.01', 'hair.n.01', 'headful.n.02', 'hide.n.02', 'protective_covering.n.02', 'areolar_tissue.n.01', 'bone.n.01', 'elastic_tissue.n.01', 'endoneurium.n.01', 'fascia.n.01', 'granulation.n.01', 'ligament.n.01', 'marrow.n.01', 'perimysium.n.01', 'perineurium.n.01', 'scar_tissue.n.01', 'skin.n.01', 'submucosa.n.01', 'tendon.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Komodo_dragon_skin.jpg/800px-Komodo_dragon_skin.jpg?20050518191042', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Elephant_skin_%283689577529%29.jpg/800px-Elephant_skin_%283689577529%29.jpg?20130129091956', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Human_skin_structure.jpg?20060331161843', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Skin.png/583px-Skin.png?20121216053705', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Elephant_Skin.jpg/800px-Elephant_Skin.jpg?20071213012713']",Komodo dragon skin.jpg,a natural protective body covering and site of the sense of touch,black-forest-labs_FLUX.1-dev,prompthero_openjourney,0
660783,1625,simple_triplet_2parent,manicure.n.01,manicure,"['beauty_treatment.n.01', 'care.n.01']","['facial.n.02', 'makeover.n.01', 'pedicure.n.01', 'babysitting.n.01', 'dental_care.n.01', 'faith_healing.n.01', 'first_aid.n.01', 'hair_care.n.01', 'healthcare.n.01', 'incubation.n.01', 'livery.n.03', 'manicure.n.01', 'maternalism.n.02', 'nourishment.n.02', 'nursing.n.01', 'nurturance.n.01', 'pedicure.n.01', 'personal_care.n.01', 'pet_sitting.n.01', 'skin_care.n.01', 'tender_loving_care.n.01', 'treatment.n.01', 'tree_surgery.n.01']","['https://upload.wikimedia.org/wikipedia/commons/e/e0/Ex-servicewomen_learning_manicure_techniques.jpg?20070226002037', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Manicure_kit_late_1940s.jpg/800px-Manicure_kit_late_1940s.jpg?20120515034350', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Hastings_County_Archives_OSD_1938-1939-54_%2839912414015%29.jpg/800px-Hastings_County_Archives_OSD_1938-1939-54_%2839912414015%29.jpg?20180426212828', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Manicure_closeup.jpg?20080603013004', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Manicure_in_Simplicity.jpg/450px-Manicure_in_Simplicity.jpg?20171011092909']",Ex-servicewomen learning manicure techniques.jpg,professional care for the hands and fingernails,black-forest-labs_FLUX.1-dev,prompthero_openjourney,1
56160608,1627,predict_hypernym,upper_deck.n.01,upper_deck,['deck.n.01'],"['afterdeck.n.01', 'flight_deck.n.01', 'foredeck.n.01', 'gun_deck.n.01', 'hurricane_deck.n.01', 'lido_deck.n.01', 'lower_deck.n.01', 'main_deck.n.01', 'orlop_deck.n.01', 'quarterdeck.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Upper_Deck_Logo.svg/302px-Upper_Deck_Logo.svg.png?20190105022657', 'https://upload.wikimedia.org/wikipedia/commons/4/46/Upper_deck_first_logo.png?20190109092652', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Kaleetan_upper_deck_cabin.JPG/800px-Kaleetan_upper_deck_cabin.JPG?20121229222827', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/HK_tram_95_upper_deck_interior_November_2021_SS2_02.jpg/800px-HK_tram_95_upper_deck_interior_November_2021_SS2_02.jpg?20211128071515', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Upper-deck_of_Dom_Luis_I_bridge_with_Eurotram%2C_2023.jpg/800px-Upper-deck_of_Dom_Luis_I_bridge_with_Eurotram%2C_2023.jpg?20230708074432']",Upper Deck Logo.svg,a higher deck,black-forest-labs_FLUX.1-dev,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,0
8703165,1636,simple_triplet_2parent,christmas.n.02,Christmas,"['holy_day_of_obligation.n.01', 'legal_holiday.n.01']","['circumcision.n.01', 'id_al-adha.n.01', 'id_al-fitr.n.01', 'movable_feast.n.01', 'rosh_hashanah.n.01', 'thanksgiving.n.01', ""all_saints'_day.n.01"", 'ascension.n.01', 'assumption.n.04', 'christmas.n.02', 'immaculate_conception.n.01', 'solemnity_of_mary.n.01', 'bank_holiday.n.01', 'bastille_day.n.01', 'boxing_day.n.01', 'christmas.n.02', 'columbus_day.n.01', 'commonwealth_day.n.01', 'dominion_day.n.01', 'independence_day.n.01', 'labor_day.n.01', ""martin_luther_king_jr's_birthday.n.01"", 'memorial_day.n.01', ""new_year's_day.n.01"", ""presidents'_day.n.01"", 'thanksgiving.n.01', 'veterans_day.n.01', 'victoria_day.n.01', 'annunciation.n.01', 'candlemas.n.01', 'christmas.n.02', 'lammas.n.01', 'martinmas.n.01', 'michaelmas.n.01', 'midsummer_day.n.01', 'pentecost.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Dyker_Lights_%2862317%29.jpg/800px-Dyker_Lights_%2862317%29.jpg?20171217033342', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Christmas_tree_sxc_hu.jpg/450px-Christmas_tree_sxc_hu.jpg?20041224093439', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Adoration_of_the_Shepherds%2C_Murillo_%28Prado_Museum%29.jpg/727px-Adoration_of_the_Shepherds%2C_Murillo_%28Prado_Museum%29.jpg?20230823003443', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/NativityChristmasLights2.jpg/800px-NativityChristmasLights2.jpg?20191214172529', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Fra_Bartolomeo_-_Holy_Family_-_BStGS_WAF_191.jpg/593px-Fra_Bartolomeo_-_Holy_Family_-_BStGS_WAF_191.jpg?20211225205223']",Dyker Lights (62317).jpg,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland",black-forest-labs_FLUX.1-dev,kandinsky-community_kandinsky-3,0
