wordnet_id,Unnamed: 0,subset,core_synset,core_lemma,hypernym_synsets,cohyponym_synsets,wikimedia_images,image_filename,definition,model_1,model_2,assessor_alina
13392688,16,appendix,guinea.n.01,guinea,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Guinea_%28orthographic_projection%29.svg/550px-Guinea_%28orthographic_projection%29.svg.png?20170817052623', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Guinee_carte.png?20060616221005', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Conakry_in_Guinea_%28special_marker%29.svg/794px-Conakry_in_Guinea_%28special_marker%29.svg.png?20111113065026', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Conakry_in_Guinea.svg/794px-Conakry_in_Guinea.svg.png?20111113065031', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Guinea-Russia_Relations.png/800px-Guinea-Russia_Relations.png?20230317070728']",Guinea (orthographic projection).svg,a former British gold coin worth 21 shillings,black-forest-labs_FLUX.1-dev,stabilityai_sdxl-turbo,3
13389949,17,appendix,half_crown.n.01,half_crown,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Coins_%28Nz_Half_Crowns_1933_To_1966_Set_In_Folder%29_%2848708992871%29.jpg/400px-Coins_%28Nz_Half_Crowns_1933_To_1966_Set_In_Folder%29_%2848708992871%29.jpg?20210827005957', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Coin_%28AM_1936.16.2-1%29.jpg/413px-Coin_%28AM_1936.16.2-1%29.jpg?20191024015733', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/The_Half_Crown%2C_South_Benfleet_-_geograph.org.uk_-_246627.jpg?20100201163425', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/The_Crown_Inn_%28with_Half_Crown%29%2C_Chiddingfold.jpg/800px-The_Crown_Inn_%28with_Half_Crown%29%2C_Chiddingfold.jpg?20220516153457', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Coin_set_%28AM_1936.16-3%29.jpg/800px-Coin_set_%28AM_1936.16-3%29.jpg?20180108155521']",Coins (Nz Half Crowns 1933 To 1966 Set In Folder) (48708992871).jpg,an English coin worth half a crown,Tencent-Hunyuan_HunyuanDiT-v1.2-Diffusers,black-forest-labs_FLUX.1-dev,1
13390405,18,appendix,half_dollar.n.01,half_dollar,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Back_of_50_cent_coin.jpg/800px-Back_of_50_cent_coin.jpg?20230327235119', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Half_dollar_roll.jpg/357px-Half_dollar_roll.jpg?20211222034034', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/1920_Pilgrim_Tercentenary_half_dollar_%28obverse%29.jpg/600px-1920_Pilgrim_Tercentenary_half_dollar_%28obverse%29.jpg?20191002191950', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Washington-carver_half_dollar_1952.jpg/800px-Washington-carver_half_dollar_1952.jpg?20190220021113', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Obverse_of_the_2021_John_F._Kennedy_Half_Dollar.jpg/760px-Obverse_of_the_2021_John_F._Kennedy_Half_Dollar.jpg?20220517175406']",Back of 50 cent coin.jpg,a United States coin worth half of a dollar,black-forest-labs_FLUX.1-dev,Tencent-Hunyuan_HunyuanDiT-v1.2-Diffusers,1
13390139,24,appendix,nickel.n.02,nickel,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Nickel_electrolytic_and_1cm3_cube.jpg/800px-Nickel_electrolytic_and_1cm3_cube.jpg?20100919163129', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Nickel_chunk.jpg/569px-Nickel_chunk.jpg?20121116010539', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Periodic_table_large.svg/800px-Periodic_table_large.svg.png?20230217080421', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Electrolytic_nickel.jpg/600px-Electrolytic_nickel.jpg?20090515150708', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Ni%2C28.jpg?20050123192042']",Nickel electrolytic and 1cm3 cube.jpg,a United States coin worth one twentieth of a dollar,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,black-forest-labs_FLUX.1-dev,2
4959672,38,appendix,chromatic_color.n.01,chromatic,['color.n.01'],"['achromatic_color.n.01', 'chromatic_color.n.01', 'coloration.n.02', 'complexion.n.01', 'heather_mixture.n.01', 'mottle.n.01', 'nonsolid_color.n.01', 'primary_color.n.01', 'shade.n.02']","['https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Rothenberg_propriety_diatonic_scale_chromatic_circle.png/591px-Rothenberg_propriety_diatonic_scale_chromatic_circle.png?20170717082532', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Pythagorean_diatonic_and_chromatic_interval.png?20101125100417', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Chromatic_in_2009.jpg?20160607131042', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Chromatic_%28programmer%29_in_2016.jpg/800px-Chromatic_%28programmer%29_in_2016.jpg?20160829203704', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Warning_Symbol_%E2%80%93_Chromatic_Aberration.svg/530px-Warning_Symbol_%E2%80%93_Chromatic_Aberration.svg.png?20211207120300']",Rothenberg propriety diatonic scale chromatic circle.png,a color that has hue,stabilityai_stable-diffusion-xl-base-1.0,black-forest-labs_FLUX.1-dev,1
4971928,41,appendix,brown.n.01,brown,['chromatic_color.n.01'],"['blond.n.02', 'blue.n.01', 'brown.n.01', 'complementary_color.n.01', 'green.n.01', 'olive.n.05', 'orange.n.02', 'pastel.n.01', 'pink.n.01', 'purple.n.01', 'red.n.01', 'salmon.n.04', 'yellow.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Kamchatka_Brown_Bear_near_Dvuhyurtochnoe_on_2015-07-23.jpg/800px-Kamchatka_Brown_Bear_near_Dvuhyurtochnoe_on_2015-07-23.jpg?20160227171407', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Color_icon_brown.svg/300px-Color_icon_brown.svg.png?20150316172635', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Gordon_Brown_%282008%29.jpg/469px-Gordon_Brown_%282008%29.jpg?20210513050341', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Color_icon_brown_v2.svg/300px-Color_icon_brown_v2.svg.png?20111214104642', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Brown_ornaments_on_doors%2C_Reflections%2C_Rostov-on-Don%2C_Russia.jpg/800px-Brown_ornaments_on_doors%2C_Reflections%2C_Rostov-on-Don%2C_Russia.jpg?20221225145725']",Kamchatka Brown Bear near Dvuhyurtochnoe on 2015-07-23.jpg,an orange of low brightness and saturation,Tencent-Hunyuan_HunyuanDiT-v1.2-Diffusers,black-forest-labs_FLUX.1-dev,4
4975739,42,appendix,complementary_color.n.01,complementary_color,['chromatic_color.n.01'],"['blond.n.02', 'blue.n.01', 'brown.n.01', 'complementary_color.n.01', 'green.n.01', 'olive.n.05', 'orange.n.02', 'pastel.n.01', 'pink.n.01', 'purple.n.01', 'red.n.01', 'salmon.n.04', 'yellow.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Color_opponent_process_theory_contrast_of_complementary_colors_%28corrected%29.png/600px-Color_opponent_process_theory_contrast_of_complementary_colors_%28corrected%29.png?20230312184505', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Contrast_of_complementary_colors.svg/152px-Contrast_of_complementary_colors.svg.png?20220815035459', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Color_opponent_process_theory_contrast_of_complementary_colors.svg/152px-Color_opponent_process_theory_contrast_of_complementary_colors.svg.png?20180128205754', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/RGB_scheme_contrast_of_complementary_colors.svg/152px-RGB_scheme_contrast_of_complementary_colors.svg.png?20180128174129', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Komplement%C3%A4rfarben_magenta_auf_gr%C3%BCn.svg/600px-Komplement%C3%A4rfarben_magenta_auf_gr%C3%BCn.svg.png?20240601195258']",Color opponent process theory contrast of complementary colors (corrected).png,either one of two chromatic colors that when mixed together give white (in the case of lights) or grey (in the case of pigments),black-forest-labs_FLUX.1-dev,stabilityai_stable-diffusion-3-medium-diffusers,1
4974340,44,appendix,olive.n.05,olive,['chromatic_color.n.01'],"['blond.n.02', 'blue.n.01', 'brown.n.01', 'complementary_color.n.01', 'green.n.01', 'olive.n.05', 'orange.n.02', 'pastel.n.01', 'pink.n.01', 'purple.n.01', 'red.n.01', 'salmon.n.04', 'yellow.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Lun_olive_tree_1600_years.jpg/690px-Lun_olive_tree_1600_years.jpg?20220308172010', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Lun_Olive-Gardens_%282%29.jpg/800px-Lun_Olive-Gardens_%282%29.jpg?20210522094132', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Air_Olive_1.JPG/800px-Air_Olive_1.JPG?20141126172808', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Olea_europaea%2C_Murviel-l%C3%A8s-B%C3%A9ziers.jpg/800px-Olea_europaea%2C_Murviel-l%C3%A8s-B%C3%A9ziers.jpg?20141028175314', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Olea_europaea_Thronos_01.JPG/800px-Olea_europaea_Thronos_01.JPG?20160404061636']",Lun olive tree 1600 years.jpg,a yellow-green color of low brightness and saturation,retrieval,black-forest-labs_FLUX.1-dev,2
4974575,46,appendix,pastel.n.01,pastel,['chromatic_color.n.01'],"['blond.n.02', 'blue.n.01', 'brown.n.01', 'complementary_color.n.01', 'green.n.01', 'olive.n.05', 'orange.n.02', 'pastel.n.01', 'pink.n.01', 'purple.n.01', 'red.n.01', 'salmon.n.04', 'yellow.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Haltern_am_See%2C_Lavesum%2C_K%C3%BCnstlerhof%2C_Pastellkreide_--_2021_--_5719.jpg/800px-Haltern_am_See%2C_Lavesum%2C_K%C3%BCnstlerhof%2C_Pastellkreide_--_2021_--_5719.jpg?20210422072700', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Pastels_at_Corcoran_-_Stierch.jpg/450px-Pastels_at_Corcoran_-_Stierch.jpg?20110710201552', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/La_Tamise_%281900-1901%29_pastel_Claude_Monet.jpg/800px-La_Tamise_%281900-1901%29_pastel_Claude_Monet.jpg?20240225202856', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Le_chemin_de_la_ferme.jpg/781px-Le_chemin_de_la_ferme.jpg?20240225144419', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Charing_Cross_Bridge_%281900_ou_1901%29_pastel_Claude_Monet_%28CM8FI0-P83%29.jpg/800px-Charing_Cross_Bridge_%281900_ou_1901%29_pastel_Claude_Monet_%28CM8FI0-P83%29.jpg?20240316192051']","Haltern am See, Lavesum, Künstlerhof, Pastellkreide -- 2021 -- 5719.jpg",any of various pale or light colors,Tencent-Hunyuan_HunyuanDiT-v1.2-Diffusers,black-forest-labs_FLUX.1-dev,3
3456665,59,appendix,greatcoat.n.01,greatcoat,['coat.n.01'],"['box_coat.n.01', 'coatee.n.01', 'cutaway.n.02', 'duffel_coat.n.01', 'frock_coat.n.01', 'fur_coat.n.01', 'greatcoat.n.01', 'jacket.n.01', 'lab_coat.n.01', 'mackinaw.n.01', 'newmarket.n.01', 'raincoat.n.01', 'sack_coat.n.01', 'sheepskin_coat.n.01', 'surcoat.n.01', 'topper.n.05']","['https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Tommy_O%27Connor%2C_ca._1917_%288886879487%29.jpg/379px-Tommy_O%27Connor%2C_ca._1917_%288886879487%29.jpg?20161125230859', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Private_in_greatcoat_%283774185%29.jpg/378px-Private_in_greatcoat_%283774185%29.jpg?20181206160235', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Soldier_in_greatcoat_%283774187%29.jpg/372px-Soldier_in_greatcoat_%283774187%29.jpg?20181206160245', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Young_soldier_in_greatcoat_%283774191%29.jpg/372px-Young_soldier_in_greatcoat_%283774191%29.jpg?20181206160305', 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Grande_Arm%C3%A9e_-_Light_Infantry_Officers_in_Greatcoats.jpg/520px-Grande_Arm%C3%A9e_-_Light_Infantry_Officers_in_Greatcoats.jpg?20090502195137']","Tommy O'Connor, ca. 1917 (8886879487).jpg",a heavy coat worn over clothes in winter,black-forest-labs_FLUX.1-dev,playgroundai_playground-v2.5-1024px-aesthetic,3
