,wordnet_id,Unnamed: 0,subset,core_synset,core_lemma,hypernym_synsets,cohyponym_synsets,wikimedia_images,image_filename,definition,model_a,model_b,result
0,13388245,0,appendix,coin.n.01,coin,['coinage.n.01'],['coin.n.01'],"['https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/India%2C_Kushan%2C_Vasudeva_II%2C_3rd_century_-_Coin_of_Kushan_King_Vasudeva_II_-_2011.212_-_Cleveland_Museum_of_Art.jpg/800px-India%2C_Kushan%2C_Vasudeva_II%2C_3rd_century_-_Coin_of_Kushan_King_Vasudeva_II_-_2011.212_-_Cleveland_Museum_of_Art.jpg?20211130202228', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Coins_of_the_Italian_Republic_%28500_Lire%29_silver_%28Caravels%29.png/800px-Coins_of_the_Italian_Republic_%28500_Lire%29_silver_%28Caravels%29.png?20170602212904', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/One_Rupee_East_India_Company.JPG/616px-One_Rupee_East_India_Company.JPG?20120415071655', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Argentina_1828_8_Escudos.jpg/800px-Argentina_1828_8_Escudos.jpg?20160121234218', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Reverse_of_1_Qiran_Iranian_Coin_-_Fath_Ali_Shah_Qhajar_-_1830.jpg/602px-Reverse_of_1_Qiran_Iranian_Coin_-_Fath_Ali_Shah_Qhajar_-_1830.jpg?20150725134944']","India, Kushan, Vasudeva II, 3rd century - Coin of Kushan King Vasudeva II - 2011.212 - Cleveland Museum of Art.jpg",a flat metal piece (usually a disc) used as money,playgroundai_playground-v2.5-1024px-aesthetic,retrieval,2.0
1,13389105,1,appendix,bawbee.n.01,bawbee,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/0/01/Mary_bawbee_1542_127326.jpg?20080519110158', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Roundabout_at_Bawbee_Bridge_-_geograph.org.uk_-_6486674.jpg/800px-Roundabout_at_Bawbee_Bridge_-_geograph.org.uk_-_6486674.jpg?20240716141529', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bawbee_Brig_-_geograph.org.uk_-_2970062.jpg/800px-Bawbee_Brig_-_geograph.org.uk_-_2970062.jpg?20211230230954', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bawbee_Bridge%2C_Leven_-_geograph.org.uk_-_6148078.jpg/800px-Bawbee_Bridge%2C_Leven_-_geograph.org.uk_-_6148078.jpg?20240117231622', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Bawbee_Bridge%2C_Leven_-_geograph.org.uk_-_3047663.jpg/799px-Bawbee_Bridge%2C_Leven_-_geograph.org.uk_-_3047663.jpg?20220113005544']",Mary bawbee 1542 127326.jpg,an old Scottish coin of little value,runwayml_stable-diffusion-v1-5,stabilityai_stable-diffusion-xl-base-1.0,0.0
2,13389194,2,appendix,bezant.n.01,bezant,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Crusader_coins_of_the_Kingdom_of_Jerusalem.jpg/800px-Crusader_coins_of_the_Kingdom_of_Jerusalem.jpg?20091107055808', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Two_crusader_gold_bezants_minted_in_the_Kingdom_of_Jerusalem_in_the_1250s.jpg/800px-Two_crusader_gold_bezants_minted_in_the_Kingdom_of_Jerusalem_in_the_1250s.jpg?20100215205030', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Bezant_gold.svg/142px-Bezant_gold.svg.png?20231201012938', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Roundel_of_Malaysia.svg/600px-Roundel_of_Malaysia.svg.png?20180827233324', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Roundel_of_Malaysia_%E2%80%93_Low_Visibility.svg/600px-Roundel_of_Malaysia_%E2%80%93_Low_Visibility.svg.png?20180828164908']",Crusader coins of the Kingdom of Jerusalem.jpg,a gold coin of the Byzantine Empire; widely circulated in Europe in the Middle Ages,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,runwayml_stable-diffusion-v1-5,0.0
3,13388111,3,appendix,change.n.08,change,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Change_in_Average_Temperature_With_Fahrenheit.svg/666px-Change_in_Average_Temperature_With_Fahrenheit.svg.png?20240113033415', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Balancing_changing_goals.png/800px-Balancing_changing_goals.png?20151231040315', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Change-icon-02.svg/39px-Change-icon-02.svg.png?20200716153147', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Climate_change_numbered.svg/512px-Climate_change_numbered.svg.png?20150114110535', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/20200118_Global_warming_and_climate_change_-_vertical_block_diagram_-_causes_effects_feedback.png/425px-20200118_Global_warming_and_climate_change_-_vertical_block_diagram_-_causes_effects_feedback.png?20210404203306']",Change in Average Temperature With Fahrenheit.svg,coins of small denomination regarded collectively,DeepFloyd_IF-I-XL-v1.0,kandinsky-community_kandinsky-3,0.0
4,13389864,4,appendix,crown.n.06,crown,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/%EC%84%9C%EB%B4%89%EC%B4%9D_%EA%B8%88%EA%B4%80_%EA%B8%88%EC%A0%9C%EB%93%9C%EB%A6%AC%EA%B0%9C.jpg/432px-%EC%84%9C%EB%B4%89%EC%B4%9D_%EA%B8%88%EA%B4%80_%EA%B8%88%EC%A0%9C%EB%93%9C%EB%A6%AC%EA%B0%9C.jpg?20141107104701', 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Crown_of_the_Virgin_of_the_Immaculate_Conception%2C_known_as_the_Crown_of_the_Andes_MET_DP365520.jpg/513px-Crown_of_the_Virgin_of_the_Immaculate_Conception%2C_known_as_the_Crown_of_the_Andes_MET_DP365520.jpg?20170415071524', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Crown_Queens_Bavaria_Schatzkammer_Residenz_Munich.jpg/586px-Crown_Queens_Bavaria_Schatzkammer_Residenz_Munich.jpg?20140415142140', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/D%C3%BClmen%2C_Kirchspiel%2C_Bauerschaft_B%C3%B6rnste_--_2017_--_6919.jpg/800px-D%C3%BClmen%2C_Kirchspiel%2C_Bauerschaft_B%C3%B6rnste_--_2017_--_6919.jpg?20170919090827', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Imperial_State_Crown.png/539px-Imperial_State_Crown.png?20171211005120']",서봉총 금관 금제드리개.jpg,an English coin worth 5 shillings,retrieval,DeepFloyd_IF-I-XL-v1.0,1.0
5,13389359,5,appendix,denier.n.02,denier,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Denier_%C3%A9glise2.jpg/800px-Denier_%C3%A9glise2.jpg?20131109162747', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/Denier_%28Pas-de-Calais%29_OSM_01.png?20210825163118', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Denier_%28Pas-de-Calais%29_OSM_03.png?20210825163118', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Denier_%28Pas-de-Calais%29_OSM_02.png?20210825163117', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Blason_denier_62.svg/545px-Blason_denier_62.svg.png?20090101044442']",Denier église2.jpg,any of various former European coins of different denominations,playgroundai_playground-v2.5-1024px-aesthetic,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,2.0
6,13390040,6,appendix,dime.n.01,dime,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/9/99/United_States_dime%2C_reverse.jpg?20050205032159', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/United_States_dime%2C_obverse%2C_2002.jpg/595px-United_States_dime%2C_obverse%2C_2002.jpg?20050205031900', 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Dime_Obverse_13.png/600px-Dime_Obverse_13.png?20140210230855', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Mercury_dime_pattern.jpg?20110528203935', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/1792_dime_obverse.jpg?20110913055657']","United States dime, reverse.jpg",a United States coin worth one tenth of a dollar,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,kandinsky-community_kandinsky-3,1.0
7,13391967,7,appendix,dollar.n.03,dollar,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Confederate_100_Dollars.jpg/800px-Confederate_100_Dollars.jpg?20081125041544', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Confederate_5_and_100_Dollars.jpg/664px-Confederate_5_and_100_Dollars.jpg?20110630033649', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Countries_that_use_the_dollar.svg/800px-Countries_that_use_the_dollar.svg.png?20221101135549', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/U.S._hundred_dollar_bill%2C_1999.jpg/800px-U.S._hundred_dollar_bill%2C_1999.jpg?20100701110149', 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Un_dollar_us.jpg?20060316202608']",Confederate 100 Dollars.jpg,a United States coin worth one dollar,prompthero_openjourney,kandinsky-community_kandinsky-3,2.0
8,13392357,8,appendix,double_eagle.n.02,double_eagle,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/NNC-US-1849-G%2420-Liberty_Head_%28Twenty_D.%29.jpg/800px-NNC-US-1849-G%2420-Liberty_Head_%28Twenty_D.%29.jpg?20150904235516', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/NNC-US-1907-G%2420-Saint_Gaudens_%28Roman%2C_high_relief%29.jpg/800px-NNC-US-1907-G%2420-Saint_Gaudens_%28Roman%2C_high_relief%29.jpg?20150904230001', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/A_handful_of_double_eagles.jpg/800px-A_handful_of_double_eagles.jpg?20140202015048', 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/American_gold_double-eagles_from_Hackney.jpg/800px-American_gold_double-eagles_from_Hackney.jpg?20101208143850', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Double-Headed_Eagle_of_Catherine_II.jpg/800px-Double-Headed_Eagle_of_Catherine_II.jpg?20200531135303']",NNC-US-1849-G$20-Liberty Head (Twenty D.).jpg,a former gold coin in the United States worth 20 dollars,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,prompthero_openjourney,1.0
9,13392896,9,appendix,doubloon.n.01,doubloon,['coin.n.01'],"['bawbee.n.01', 'bezant.n.01', 'change.n.08', 'crown.n.06', 'denier.n.02', 'dime.n.01', 'dollar.n.03', 'double_eagle.n.02', 'doubloon.n.01', 'ducat.n.01', 'eagle.n.03', 'eightpence.n.01', 'farthing.n.01', 'fivepence.n.01', 'fourpence.n.01', 'guinea.n.01', 'half_crown.n.01', 'half_dollar.n.01', 'half_eagle.n.01', 'halfpenny.n.01', ""louis_d'or.n.01"", 'maundy_money.n.01', 'medallion.n.01', 'nickel.n.02', 'ninepence.n.01', 'penny.n.02', 'piece_of_eight.n.01', 'quarter.n.10', 'real.n.03', 'shilling.n.06', 'sixpence.n.01', 'slug.n.03', 'sou.n.01', 'stater.n.01', 'tenpence.n.01', 'threepence.n.01', 'twopence.n.01']","['https://upload.wikimedia.org/wikipedia/commons/b/bc/Doubloon.jpg?20081017112944', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Argentina_1828_8_Escudos.jpg/800px-Argentina_1828_8_Escudos.jpg?20160121234218', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/1787_Brasher_Doubloon_%28reverse%29.jpg/589px-1787_Brasher_Doubloon_%28reverse%29.jpg?20150204043516', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Heliopsis_helianthoides_var._scabra_Bressingham_Doubloon_2zz.jpg/800px-Heliopsis_helianthoides_var._scabra_Bressingham_Doubloon_2zz.jpg?20170714184209', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Heliopsis_helianthoides_var._scabra_Bressingham_Doubloon_1zz.jpg/800px-Heliopsis_helianthoides_var._scabra_Bressingham_Doubloon_1zz.jpg?20170714184201']",Doubloon.jpg,a former Spanish gold coin,PixArt-alpha_PixArt-Sigma-XL-2-512-MS,runwayml_stable-diffusion-v1-5,2.0
